gid,awa_aws_0_12,awa_aws_12_24,awa_aws_24_36,awa_aws_36_48,aws0_12_g80,aws12_24_g80,aws24_36_g80,aws36_48_g80,aws0_12_l20,aws12_24_l20,aws24_36_l20,aws36_48_l20,range_alg_0_12in,range_alg_12_24in,range_alg_24_36in,range_alg_36_48in
1497,12.41912072,8.49708772,7.510501849,6.524549992,14.8000002,10.0100002,8.9099998,7.71,14.8000002,10.0100002,8.9099998,7.71,2.3809,1.5129,1.3995,1.1855
1498,3.024095367,2.276898472,1.678324255,1.608829501,3.024095367,2.276898472,1.678324255,1.608829501,3.05936538,2.236358139,1.6307744,1.570457119,0.0353,0.0405,0.0475,0.0384
1499,2.893852232,2.478715998,1.93290531,1.805810697,2.893852232,2.478715998,1.93290531,1.805810697,2.89385218,2.478715954,1.932905276,1.805810665,0,0,0,0
1500,4.443165803,3.040678365,2.608043932,2.464001162,2.54,1.76,1.45,1.5,2.54,1.76,1.45,1.5,1.9032,1.2807,1.158,0.964
1501,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
1502,2.85050507,2.493167615,1.937723446,1.815445272,2.85050507,2.493167615,1.937723446,1.815445272,2.850502871,2.493165691,1.937721952,1.815443872,0,0,0,0
1503,14.76240802,9.984574675,8.887368289,7.690416504,14.8000002,10.0100002,8.9099998,7.71,14.8000002,10.0100002,8.9099998,7.71,0.0376,0.0254,0.0226,0.0196
1504,3.032095239,2.255055919,1.648367907,1.586709277,3.032095239,2.255055919,1.648367907,1.586709277,3.032095122,2.255055832,1.648367844,1.586709216,0,0,0,0
1505,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0
1506,2.827660464,2.497933361,1.938396388,1.818495586,2.8299999,2.5,1.9400001,1.8200001,2.8299999,2.5,1.9400001,1.8200001,0.0023,0.0021,0.0016,0.0015
1507,2.853558594,2.492173198,1.937399495,1.814783367,2.853558594,2.492173198,1.937399495,1.814783367,2.853536983,2.492154323,1.937384822,1.814769623,0,0,0,0
1508,2.884884702,2.475695293,1.929966879,1.803529275,2.884884702,2.475695293,1.929966879,1.803529275,2.889928635,2.480023799,1.933341233,1.806682566,0.005,0.0043,0.0034,0.0032
1509,2.236129266,1.549443901,1.276530487,1.320548779,2.54,1.76,1.45,1.5,2.54,1.76,1.45,1.5,0.3039,0.2106,0.1735,0.1795
1510,3.038266493,2.266903635,1.668759194,1.600088427,3.038266493,2.266903635,1.668759194,1.600088427,3.046927852,2.257209294,1.657478506,1.590942464,0.0087,0.0097,0.0113,0.0091
1511,10.07780288,7.028789652,6.152543113,5.380435584,10.07780288,7.028789652,6.152543113,5.380435584,14.8000002,10.0100002,8.9099998,7.71,4.7222,2.9812,2.7575,2.3296
1512,3.031760035,2.252568352,1.661117413,1.595256558,3.031760035,2.252568352,1.661117413,1.595256558,3.042987925,2.263814467,1.665937763,1.597431757,0.0112,0.0112,0.0048,0.0022
1513,2.821088104,2.491514802,1.933489875,1.813833168,2.8299999,2.5,1.9400001,1.8200001,2.8299999,2.5,1.9400001,1.8200001,0.0089,0.0085,0.0065,0.0062
