parc_gid,awa_aws_0_12,awa_aws_12_24,awa_aws_24_36,awa_aws_36_48,aws0_12_g80,aws12_24_g80,aws24_36_g80,aws36_48_g80,aws0_12_l20,aws12_24_l20,aws24_36_l20,aws36_48_l20,rngalg0_12,rngal12_24,rngal24_36,rngal36_48,logrg0_12,logrg12_24,logrg24_36,logrg36_48
524,3.797447867,2.997581887,1.977210647,1.902744333,3.797447867,2.997581887,1.977210647,1.902744333,3.797434425,2.997571277,1.977203648,1.902737598,0.0000134,0.0000106,0.000007,0.0000067,0.0000134,0.0000106,0.000007,0.0000067
525,3.182642971,2.259841083,1.933258881,1.910901639,3.182642971,2.259841083,1.933258881,1.910901639,3.119946427,2.214512979,1.659702074,1.592648215,0.0626965,0.0453281,0.273557,0.318253,0.0608095,0.0443308,0.241814,0.276307
526,6.41822048,3.610189742,2.50652307,2.328184588,6.41822048,3.610189742,2.50652307,2.328184588,5.693997057,3.001853567,1.927691528,1.86221149,0.724223,0.608336,0.578832,0.465973,0.544776,0.4752,0.456685,0.382519
527,2.99771782,2.027042491,3.032097371,2.928906544,2.99771782,2.027042491,3.032097371,2.928906544,3.6300001,2.4100001,3.97,3.8,0.632282,0.382958,0.937903,0.871093,0.489979,0.324225,0.661606,0.626523
528,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
529,2.825168382,2.448116038,1.937295016,1.836474019,2.825168382,2.448116038,1.937295016,1.836474019,2.825168083,2.448115778,1.937294811,1.836473825,0.0000003,0.0000003,0.0000002,0.0000002,0.0000003,0.0000003,0.0000002,0.0000002
530,0.250807013,0.169165705,0.125790373,0.117838134,0,0,0,0,0,0,0,0,0.250807,0.169166,0.12579,0.117838,0.223789,0.156291,0.118485,0.111396
531,2.81843154,2.446561522,1.937813405,1.839065328,2.81843154,2.446561522,1.937813405,1.839065328,2.818431031,2.44656108,1.937813056,1.839064996,0.0000005,0.0000004,0.0000003,0.0000003,0.0000005,0.0000004,0.0000003,0.0000003
532,2.894279553,2.448243237,1.912999677,1.784144869,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0257205,0.0217568,0.0170002,0.0158551,0.0253953,0.0215235,0.0168573,0.0157307
533,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
534,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
535,5.519029916,3.7921973,2.5123953,2.140918667,6.0500002,4.1999998,2.79,2.3499999,6.0500002,4.1999998,2.79,2.3499999,0.53097,0.407802,0.277605,0.209081,0.425902,0.34203,0.244987,0.189861
536,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
537,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
538,3.57731702,2.123569167,1.657601951,1.747320396,3.57731702,2.123569167,1.657601951,1.747320396,3.46,1.78,1.2,1.24,0.117317,0.343569,0.457602,0.50732,0.11093,0.29533,0.376793,0.410333
539,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
540,2.877484034,2.434036069,1.90189853,1.773791467,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0425161,0.0359639,0.0281014,0.0262085,0.0416371,0.0353323,0.0277138,0.0258709
541,3.096114076,2.421622614,2.272830632,2.232446137,3.096114076,2.421622614,2.272830632,2.232446137,2.9200001,2.47,1.9299999,1.8,0.176114,0.0483774,0.342831,0.432446,0.162216,0.0472436,0.29478,0.359383
542,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
543,2.940273615,2.371983885,1.816962051,1.724119387,2.940273615,2.371983885,1.816962051,1.724119387,2.880401025,2.460861789,1.933046041,1.815230402,0.0598726,0.0888779,0.116084,0.091111,0.0581487,0.0851477,0.109826,0.0871964
544,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
545,2.812277047,2.434609914,1.920590863,1.81577995,2.812277047,2.434609914,1.920590863,1.81577995,2.836496249,2.45072996,1.936423397,1.832116841,0.0242192,0.01612,0.0158325,0.0163369,0.0239306,0.0159915,0.0157085,0.0162049
546,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
547,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
548,2.429727333,2.238887324,1.70833072,1.765275077,2.28,2.3,1.8,1.86,2.28,2.3,1.8,1.86,0.149727,0.0611127,0.0916693,0.0947249,0.139525,0.0593181,0.087708,0.0905031
549,2.897756453,2.464867097,1.931711253,1.808555609,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0.0222436,0.0051329,0.0017114,0.0085556,0.0219998,0.0051198,0.0017099,0.0085192
550,5.989078966,3.650905329,3.346949614,3.353749078,5.989078966,3.650905329,3.346949614,3.353749078,3.46,1.78,1.2,1.24,2.5290799,1.87091,2.14695,2.11375,1.26104,1.05463,1.14643,1.13583
551,3.581837319,2.581774815,2.271797545,1.958212995,3.581837319,2.581774815,2.271797545,1.958212995,3.422631365,2.62418136,2.133519296,1.843170812,0.159206,0.0424065,0.138278,0.115042,0.147735,0.041532,0.129517,0.108892
552,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,2.9200001,2.47,1.9299999,1.8,0,0,0,0,0,0,0,0
553,2.449523294,2.314062433,1.810001032,1.806206378,2.449523294,2.314062433,1.810001032,1.806206378,2.495125362,2.357142665,1.843697299,1.839832,0.0456021,0.0430802,0.0336963,0.0336256,0.0445929,0.0421781,0.033141,0.0330726
554,3.069346835,2.433138378,2.257650064,2.151012752,3.069346835,2.433138378,2.257650064,2.151012752,2.9200001,2.47,1.9299999,1.8,0.149347,0.0368616,0.32765,0.351013,0.139194,0.0361985,0.28341,0.300855
